MQ1,MQ2
25,386
25,386
25,386
25,386
25,386
25,385
26,385
20,385
20,385
22,385
20,385
19,385
19,385
19,385
18,385
19,385
18,384
18,384
18,385
18,385
18,384
18,384
19,385
18,386
18,385
18,385
18,385
18,385
18,385
18,385
20,385
20,385
20,384
19,385
19,385
20,385
19,385
20,386
20,385
19,386
21,385
21,385
25,385
25,385
25,384
24,384
24,384
24,385
25,384
27,385
22,387
25,386
25,386
27,386
23,386
25,386
30,386
30,386
30,385
29,385
30,385
29,385
25,385
30,384
30,384
30,384
30,384
30,384
30,384
30,384
30,384
30,384
29,384
30,384
29,384
29,384
29,384
29,384
30,384
29,384
30,380
17,384
18,384
17,384
17,384
18,385
40,384
17,384
21,384
18,384
18,384
18,384
18,384
18,384
18,384
18,384
25,384
26,384
26,384
25,384
25,384
25,384
25,384
25,384
25,384
25,384
25,384
25,384
25,384
25,384
25,384
25,384
25,384
25,384
25,384
25,384
25,384
25,384
24,384
24,384
25,384
25,384
25,384
24,384
25,384
25,384
24,384
25,384
24,384
24,384
24,384
24,384
24,384
24,384
24,384
24,384
24,384
24,384
24,384
25,384
27,384
27,384
16,385
17,385
19,384
20,384
20,384
21,384
21,384
18,384
26,384
27,384
17,384
20,384
21,384
18,384
18,384
17,384
17,384
17,384
17,384
17,384
17,384
17,384
18,385
19,386
18,384
18,384
18,384
18,384
18,384
18,384
17,383
17,383
17,382
17,382
17,381
17,381
17,381
17,381
17,381
17,381
17,381
17,381
17,380
17,380
17,380
17,380
17,380
17,380
17,380
17,380
17,380
17,380
17,380
17,380
16,380
16,380
17,380
16,379
16,379
16,379
17,379
17,379
17,379
16,379
16,379
16,379
16,379
16,379
16,379
16,379
16,379
16,379
16,379
16,379
16,379
16,379
16,379
16,379
16,378
16,379
16,378
16,378
16,379
16,379
16,378
16,379
16,379
16,378
16,379
16,379
16,379
16,379
16,378
16,378
16,379
16,378
16,379
16,378
16,379
16,378
16,378
16,378
16,378
16,378
16,379
16,379
16,379
16,378
16,378
16,378
16,379
16,378
16,378
16,379
16,378
16,378
16,378
16,378
16,378
16,378
16,378
16,378
16,378
16,378
16,378
16,378
16,378
16,378
16,378
16,378
16,378
16,378
16,378
16,378
16,378
16,378
16,378
16,378
16,378
16,378
16,378
16,378
16,378
16,379
16,378
16,378
16,379
16,379
16,378
15,378
16,378
16,378
16,378
16,378
15,378
15,378
16,378
15,378
15,378
16,378
16,378
15,378
16,378
16,378
15,378
16,378
15,378
16,379
15,379
15,378
16,379
15,379
15,379
15,379
15,379
15,379
15,379
15,380
15,379
16,380
15,380
16,380
15,380
16,380
15,380
15,380
15,380
15,380
15,380
15,380
15,380
15,380
15,381
15,381
15,381
15,381
15,381
15,381
15,381
15,381
15,380
15,381
15,380
15,381
15,381
15,381
15,381
15,381
15,381
15,381
15,381
15,381
15,381
15,381
15,381
15,381
15,381
15,381
15,381
15,381
15,381
15,381
15,381
15,381
15,381
15,381
15,381
15,381
15,381
15,381
15,381
15,381
15,381
15,381
15,381
15,381
15,381
15,381
15,381
15,381
15,380
15,380
15,380
15,381
15,380
15,381
15,380
15,381
15,380
15,381
19,380
20,380
19,380
17,381
16,380
19,379
17,380
34,380
37,380
43,380
45,379
37,379
36,379
36,379
36,379
36,379
36,379
35,379
35,379
35,379
35,379
35,379
35,379
36,379
35,379
36,379
35,379
35,379
35,379
35,379
35,379
35,379
35,379
35,379
36,379
35,379
35,379
35,379
35,379
35,379
35,379
35,378
35,378
35,379
35,378
35,378
35,378
35,378
35,378
35,378
35,378
35,378
35,378
35,378
35,378
