MQ1,MQ2
18,424
21,423
20,422
20,421
21,413
20,417
20,417
21,418
20,417
15,417
18,416
16,417
15,416
15,415
15,414
15,414
15,413
15,413
17,414
18,413
18,413
16,412
16,412
17,412
18,412
18,411
18,412
18,412
18,411
18,411
18,411
18,411
18,411
18,410
18,411
18,411
18,412
18,412
18,411
19,412
19,412
19,412
19,413
19,413
19,413
19,413
19,413
19,413
19,413
19,413
19,413
19,413
19,413
19,413
19,413
19,413
19,413
18,413
17,413
19,412
17,411
16,411
17,412
19,412
18,412
18,413
18,413
18,414
18,414
18,414
19,414
18,414
19,415
18,415
19,416
19,416
19,416
19,416
19,417
19,417
19,417
19,417
19,418
19,418
19,418
20,418
19,418
20,418
20,421
21,421
21,421
21,421
21,421
21,422
18,420
17,419
17,418
18,418
18,417
18,417
18,417
18,417
18,417
18,418
19,418
19,418
19,418
19,417
19,417
19,417
19,416
19,415
18,414
18,413
18,412
18,413
19,413
18,413
18,413
19,413
19,414
19,414
19,414
20,415
37,414
36,414
35,414
26,413
23,413
19,413
18,414
18,411
17,411
16,411
17,410
18,409
17,409
17,408
17,408
16,408
17,408
17,408
17,408
17,408
17,409
18,409
18,410
18,409
18,409
18,409
18,409
18,409
17,407
17,408
18,408
17,410
17,410
17,409
17,408
17,408
18,410
16,410
14,411
13,411
16,412
17,413
16,412
16,413
43,413
44,414
45,414
46,414
46,414
47,414
47,415
47,415
48,415
47,415
47,414
47,415
47,415
47,416
47,415
46,415
46,415
46,414
46,414
23,414
22,415
22,416
24,416
24,416
24,416
23,415
23,415
23,414
23,415
23,415
23,415
23,415
23,415
23,415
23,415
23,415
23,415
23,415
23,415
23,415
22,415
22,415
22,415
22,415
22,415
22,415
21,415
21,415
21,414
21,415
21,415
21,415
21,415
21,414
21,414
28,414
28,414
27,413
28,413
27,413
27,413
28,413
27,414
27,413
27,413
27,414
28,414
27,415
22,414
22,414
22,415
22,416
23,416
54,416
37,416
44,416
54,416
42,415
43,413
41,412
40,411
39,409
39,409
37,407
35,407
33,407
33,407
32,408
31,407
31,407
31,407
30,406
30,405
29,405
30,404
30,403
30,403
30,402
29,402
30,402
39,389
39,401
38,401
38,401
38,401
46,402
17,403
21,402
21,402
23,404
23,404
23,404
19,403
19,402
19,401
19,401
19,402
19,401
19,401
19,401
19,402
20,402
19,402
19,402
20,403
19,402
19,402
19,402
19,402
19,402
19,401
19,402
19,402
19,402
19,402
19,402
19,402
19,403
19,403
19,402
19,402
19,402
19,403
19,403
19,403
19,402
19,402
19,403
19,403
19,403
19,403
19,402
19,403
19,403
19,403
19,402
19,402
19,402
18,402
18,401
18,401
18,401
18,401
19,402
19,401
19,401
19,402
22,402
44,401
30,401
19,401
24,402
23,403
23,404
23,404
23,405
23,405
22,404
22,405
22,405
21,405
18,405
19,405
19,405
24,405
54,405
37,405
44,405
47,405
47,406
45,406
45,406
43,407
43,407
43,408
43,408
23,408
23,408
23,409
22,409
21,409
22,409
22,410
27,410
27,411
27,411
27,411
27,412
27,412
28,412
28,412
29,413
29,413
29,413
29,413
28,413
28,414
27,414
27,414
27,414
28,414
28,415
28,415
30,415
31,415
31,416
30,415
30,416
32,416
33,416
32,416
32,416
32,416
41,416
43,415
41,416
40,416
38,416
37,416
36,416
25,416
