MQ1,MQ2
287,46
287,47
288,48
301,51
302,55
304,57
305,59
302,59
301,65
300,70
300,77
300,88
301,95
301,94
302,90
302,91
302,91
302,89
302,85
302,81
302,80
301,76
301,73
300,71
300,69
299,68
298,66
297,62
297,60
296,59
296,58
298,58
296,57
295,56
294,54
294,53
293,52
293,52
293,51
292,50
292,50
292,49
292,50
291,49
298,49
297,49
303,48
302,49
302,49
302,50
303,50
301,50
301,50
300,49
299,49
299,49
299,48
300,52
300,53
303,88
307,154
298,175
298,250
299,195
298,182
299,204
300,220
300,259
301,366
302,416
304,408
307,414
310,384
314,384
317,388
321,395
320,382
324,322
389,369
392,339
386,317
381,321
379,300
379,267
409,290
438,306
417,268
410,247
405,231
401,225
401,274
395,238
391,232
391,275
391,288
388,271
385,248
382,225
378,207
375,184
372,165
368,152
363,141
360,133
357,126
353,120
351,116
346,112
344,107
340,104
337,100
335,97
333,95
330,93
327,91
324,89
321,88
319,86
317,84
315,83
314,81
312,79
310,78
308,77
306,75
306,75
303,75
302,74
299,73
298,72
296,71
295,70
294,70
293,69
292,68
290,67
290,66
290,66
288,65
287,65
286,64
285,63
282,62
282,62
284,61
283,60
283,60
286,59
284,59
284,58
283,58
282,58
281,58
280,57
280,57
278,57
278,57
276,56
276,56
276,56
275,55
275,55
274,55
273,54
273,54
273,54
272,54
273,54
273,54
273,54
269,53
269,53
268,53
269,53
269,53
269,52
268,52
268,52
268,52
268,51
267,51
267,51
267,51
267,51
267,51
267,51
267,50
267,50
265,50
265,50
264,50
264,50
265,49
265,50
264,49
265,50
264,50
263,50
263,49
262,49
261,49
261,49
261,49
261,49
262,49
262,48
262,48
263,48
264,48
264,48
264,48
264,48
264,47
263,47
263,47
264,48
262,48
262,48
263,48
263,50
263,50
263,50
277,50
251,50
252,49
253,49
253,49
254,49
254,49
254,50
259,50
259,49
260,49
259,49
259,49
259,49
260,49
260,48
263,49
260,49
260,48
261,49
260,49
260,48
260,49
260,49
261,49
261,50
262,53
263,55
264,65
266,74
268,88
269,88
272,82
272,81
273,107
267,132
269,182
270,160
265,279
260,307
254,351
255,465
257,440
259,386
271,364
269,323
271,301
275,371
283,313
284,318
285,391
287,381
290,548
291,469
290,522
295,423
295,380
297,341
296,306
297,281
295,259
292,241
290,221
289,202
287,188
286,176
284,166
283,156
282,147
281,139
280,132
279,126
278,120
277,116
277,112
275,107
276,104
274,100
274,96
274,94
