MQ1,MQ2
251,28
251,28
251,29
251,29
251,29
266,37
271,55
266,34
258,44
261,23
245,46
240,49
267,23
245,23
256,24
245,24
264,27
262,27
246,27
249,26
259,25
251,24
240,22
245,22
242,24
240,25
241,24
241,24
242,23
244,22
245,20
246,19
245,19
245,19
244,19
244,19
246,20
245,21
241,21
240,22
240,22
240,22
241,22
241,22
242,23
243,22
243,23
243,22
243,22
243,23
243,23
243,23
244,22
244,23
244,22
245,22
244,22
244,22
245,22
245,22
245,22
245,22
245,22
246,22
245,22
247,22
246,22
246,23
247,23
246,23
246,22
246,22
246,23
247,23
247,23
247,23
247,23
247,23
247,22
247,23
247,23
247,23
247,22
247,22
247,22
247,22
247,22
247,22
247,23
247,22
247,22
247,22
247,22
247,22
247,22
247,22
247,23
247,22
247,22
247,22
247,22
247,22
247,22
247,23
248,23
247,23
247,23
247,22
247,22
246,23
246,22
245,22
246,22
245,22
245,22
244,21
245,21
243,20
243,20
243,20
244,21
243,21
243,21
243,21
242,22
241,23
240,24
240,24
241,25
240,28
239,28
240,27
240,25
246,29
266,29
258,30
255,29
252,26
264,25
269,23
264,23
265,23
257,23
261,23
260,23
260,23
265,23
262,23
268,23
260,23
250,23
250,23
250,23
250,23
251,23
246,23
244,23
242,23
242,23
243,23
243,23
243,23
244,23
243,23
244,23
244,23
244,23
244,23
244,23
