MQ1,MQ2
281,21
280,20
281,21
281,22
282,21
281,21
282,21
282,21
282,21
282,21
282,21
282,22
282,22
283,21
282,22
283,22
283,22
283,22
283,22
283,22
284,22
284,22
284,23
284,23
285,23
284,23
285,22
285,23
286,23
285,22
285,22
285,21
284,21
284,22
291,21
285,22
284,21
284,21
284,21
284,21
284,22
284,21
285,21
283,21
283,21
284,21
283,21
282,20
282,20
283,21
282,21
282,21
281,21
281,21
281,21
281,21
281,21
281,21
282,22
281,21
281,21
282,21
282,21
282,21
282,21
283,21
282,22
282,21
283,21
283,21
283,22
283,23
283,24
286,24
282,23
282,23
281,22
280,21
279,24
279,24
279,25
279,25
279,25
279,25
279,24
279,25
279,25
279,24
279,24
279,24
280,25
280,24
280,24
280,24
280,24
280,24
280,24
280,24
279,23
279,23
279,23
280,22
279,23
279,23
279,23
279,23
279,23
279,23
280,23
279,23
280,23
280,23
280,23
281,23
280,24
281,24
281,24
281,24
281,24
281,24
281,23
281,24
282,23
281,23
282,24
282,23
282,23
282,23
282,23
282,23
283,23
282,23
282,23
282,24
282,48
282,66
282,113
282,155
283,193
283,212
284,199
285,175
285,141
285,128
285,120
285,113
286,106
286,98
285,91
285,87
285,81
285,115
285,108
284,120
284,213
284,258
284,272
284,265
285,224
286,189
286,168
286,171
287,172
286,150
287,133
287,123
288,115
286,110
286,104
286,98
285,93
285,89
284,87
284,85
284,84
284,81
284,87
284,86
283,82
283,107
283,108
283,108
283,98
283,93
282,87
281,83
282,81
282,80
283,79
283,78
283,79
283,76
284,74
284,72
285,68
285,68
284,67
284,66
285,65
285,64
285,63
285,61
285,61
285,60
285,59
285,58
285,58
286,57
286,56
285,56
287,55
286,54
286,53
286,53
286,53
286,52
287,52
287,52
287,51
286,50
286,50
285,49
284,50
285,48
285,47
286,47
285,46
285,46
285,46
285,45
284,44
284,43
284,43
285,43
285,43
285,43
285,42
285,42
284,42
285,42
285,41
284,41
285,41
284,40
284,40
284,40
284,40
284,39
284,39
284,39
285,39
284,39
284,39
284,39
285,39
286,39
287,39
286,39
286,38
284,41
285,40
284,39
283,101
283,165
283,239
283,260
283,319
283,333
284,346
285,316
286,280
287,258
287,234
287,217
288,201
286,181
285,168
285,159
286,153
286,146
288,141
288,134
289,127
288,122
287,118
288,113
288,109
288,105
288,103
288,99
288,97
298,94
298,91
294,88
290,85
292,83
290,81
288,79
293,77
292,74
289,71
288,69
287,126
284,223
284,281
284,280
286,291
286,336
288,326
288,329
289,285
288,268
289,254
289,231
291,217
290,205
289,194
289,183
289,174
289,166
290,158
290,151
291,145
290,139
292,133
291,128
292,123
292,119
292,114
292,111
291,107
293,103
293,100
292,97
292,95
291,95
291,96
292,92
291,89
291,87
291,86
294,84
292,82
299,81
292,79
289,77
289,76
288,75
294,74
308,73
308,71
306,71
305,70
306,68
303,67
305,66
304,65
303,65
304,64
299,63
302,62
300,61
299,60
298,60
298,59
301,59
308,58
282,58
281,58
281,58
282,58
